Secretaria,Codigo departamento, Nombre departamento,Codigo municipio, Nombre municipio, Codigo Establecimiento, Nombre Establecimiento, Codigo Sede, Nombre Sede, Zona, Direccion, Telefono, Estado Sede, Niveles, Modelos, Grados
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,327001001000,IE SANTO DOMINGO SAVIO,327001001000,IE SANTO DOMINGO SAVIO,URBANA,CL 25 26 A 110,6708016,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","POST PRIMARIA,MEDIA RURAL,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,ESCUELA NUEVA,A CRECER,ETNOEDUCACIÓN,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE,TELESECUNDARIA,ACELERACIÓN DEL APRENDIZAJE,SAT PRESENCIAL","-1,0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,327001001000,IE SANTO DOMINGO SAVIO,127001004026,SEDE MELVIN JHONS,URBANA,IND BARRIO EL JARDIN,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","TRANSFORMEMOS,ESPERE,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE","0,1,2,3,4,5,21,22,23,99"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,327001001000,IE SANTO DOMINGO SAVIO,127001000039,SEDE LOS ANGELES,URBANA,IND BARRIO LOS ANGELES,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","TRANSFORMEMOS,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL","-1,0,1,2,3,4,5,21,22,23"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,227001018200,IE TECNICA ANTONIO RICAURTE,227001018200,IE TECNICA ANTONIO RICAURTE,URBANA,IND KM 3 SALIDA A ISTMINA,6713255,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","ESPERE,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE,ACELERACIÓN DEL APRENDIZAJE,GRUPOS JUVENILES CREATIVOS,BACHILLERATO PACICULTOR","0,1,2,3,4,5,6,7,8,9,10,11,21,22,23,24,25,26,99"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,227001018200,IE TECNICA ANTONIO RICAURTE,227001001692,SEDE PUENTE DE CABI,URBANA,IND CABI,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","ESPERE,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE","0,1,2,3,4,5,21,22"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,227001018200,IE TECNICA ANTONIO RICAURTE,127001000004,SEDE MARIA BERCHMANS,URBANA,IND BARRIO EL JARDIN,,ANTIGUO-ACTIVO,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","ESPERE,PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS,A CRECER,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE,ACELERACIÓN DEL APRENDIZAJE,CAFAM","0,1,2,3,4,5,21,22,23,24,25,26,99"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,227001018200,IE TECNICA ANTONIO RICAURTE,427001000016,SEDE KILOMETRO 8,RURAL,KILOMETRO OCHO VIA YUTO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","ESCUELA NUEVA,EDUCACIÓN TRADICIONAL,CIRCULOS DE APRENDIZAJE","0,1,2,3,4,5"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,227001018200,IE TECNICA ANTONIO RICAURTE,227001000203,SEDE BOCA DEL PANTANO,RURAL,BOCA DE PANTANO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"0,1,2,3,4,5"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,227001018200,IE TECNICA ANTONIO RICAURTE,127001017675,SEDE BOCA DE TANANDO,RURAL,BOCA DE TANANDO,,ANTIGUO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA","A CRECER,EDUCACIÓN TRADICIONAL","0,1,2,3,4,5,21"
QUIBDÓ,27,CHOCÓ,27001,QUIBDÓ,327001018271,CENTRO EDUCATIVO PACIFICO (CEPA),327001018271,CENTRO EDUCATIVO PACIFICO (CEPA) - SEDE PRINCIPAL,URBANA,KR 6 11 106,,NUEVO-ACTIVO,"PREESCOLAR,BÁSICA PRIMARIA",EDUCACIÓN TRADICIONAL,"-2,-1,0,1,2,3,4,5"
